candidate,sentiment,sentiment_confidence,subject_matter,retweet_count,text
Mike Huckabee,Positive,0.6822,Foreign Policy,1,Mike Huckabee quoting Limp Bizkit lyrics for his military talking points #BreakStuff #GOPDebates
Jeb Bush,Negative,1,None of the above,4,"RT @SupermanHotMale: Dear Jeb Bush, Your Record, Sir is clear, you are a fucking ememy of the voting public... PERIOD. #GopDebates"
No candidate mentioned,Negative,1,FOX News or Moderators,0,Wasted opportunity to ask a doctor what science is #DebateWithBernie #GOPDebacle #GOPDebates
Donald Trump,Negative,0.6785,FOX News or Moderators,134,RT @RWSurferGirl: The candidates don't have to attack @realDonaldTrump Fox is doing it for them by stoping him from speaking. 🇺🇸 #GOPDebate…
Mike Huckabee,Negative,0.6842,Women's Issues (not abortion though),1,"RT @jsn2007: ""The military is not a social experiment."" @GovMikeHuckabee Does that include women too? You have no idea. #gopdebates"
No candidate mentioned,Negative,1,FOX News or Moderators,132,RT @RWSurferGirl: Is it just me or does anyone else want to punch Chris Wallace in the face? #GOPDebate  #GOPDebates 🇺🇸
No candidate mentioned,Positive,0.6613,LGBT issues,0,I do have to admit that I am pleasantly surprised at the questions from the moderators. Transgender issues? Unexpected. #GOPdebates
Mike Huckabee,Negative,0.6733,None of the above,66,"RT @jamiaw: ""The purpose of the military is to kill people and break things""-Mike Huckabee #GOPDebates #KKKorGOP"
No candidate mentioned,Negative,0.668,None of the above,0,"""The disaster is that we forgot that we have a military"" yes, just yes #GOPDebates"
Mike Huckabee,Negative,0.6404,None of the above,66,"RT @jamiaw: ""The purpose of the military is to kill people and break things""-Mike Huckabee #GOPDebates #KKKorGOP"
No candidate mentioned,Negative,1,None of the above,0,"If my IQ were 80 or less, I think these assholes would seem really coherent. 

#GOPDebates"
No candidate mentioned,Negative,1,None of the above,7,RT @cloudypianos: I'm just waiting for them all to accidentally eat each other #GOPDebates
No candidate mentioned,Negative,0.6725,FOX News or Moderators,3,RT @SupermanHotMale: These fox news debates are no more than comedy at the laugh store... it's all for fun. #GopDebates
Ben Carson,Negative,1,None of the above,0,"""Define 'shore up,' you ignorant motherfucking jackass.""
#GOPDebates #GOPDbate #BenCarson"
No candidate mentioned,Negative,0.6522,Foreign Policy,1,"RT @elleryprescott: Why don't they all just chant ""war"" together? 

#GOPdebates #republicandebates #debate #GOP #debatewithbernie"
Mike Huckabee,Negative,1,None of the above,66,"RT @jamiaw: ""The purpose of the military is to kill people and break things""-Mike Huckabee #GOPDebates #KKKorGOP"
Donald Trump,Negative,0.7128,FOX News or Moderators,73,RT @RWSurferGirl: I'm really really really pissed off at FOX News for what they did to @realDonaldTrump #GOPDebate  #GOPDebates 🇺🇸
No candidate mentioned,Negative,1,FOX News or Moderators,132,RT @RWSurferGirl: Is it just me or does anyone else want to punch Chris Wallace in the face? #GOPDebate  #GOPDebates 🇺🇸
Mike Huckabee,Negative,0.6458,None of the above,0,I feel like Mike Huckabee would smell like Fancy Feast cat food and Bengay #GOPDebates
No candidate mentioned,Positive,1,FOX News or Moderators,2,RT @jennrios1191: @BretBaier is by far the best moderator tonight. Hands down. #GOPDebate @FoxNews #GOPDebates Nice job Bret!
Scott Walker,Negative,1,None of the above,0,#GOPDebate @ScottWalker looks gormless. I don't know but he reminds me of the kind of guys I avoid trying to hit on me in bars! #GOPDebates
No candidate mentioned,Negative,0.6588,FOX News or Moderators,3,RT @SupermanHotMale: These fox news debates are no more than comedy at the laugh store... it's all for fun. #GopDebates
Donald Trump,Positive,0.6965,FOX News or Moderators,78,RT @RWSurferGirl: Ask Trump a legitimate question. Look at Wallace's face when Trump nails it. 🇺🇸 #GOPDebate  #GOPDebates
Mike Huckabee,Negative,0.6739,Women's Issues (not abortion though),1,"""The military is not a social experiment."" @GovMikeHuckabee Does that include women too? You have no idea. #gopdebates"
No candidate mentioned,Negative,1,FOX News or Moderators,132,RT @RWSurferGirl: Is it just me or does anyone else want to punch Chris Wallace in the face? #GOPDebate  #GOPDebates 🇺🇸
No candidate mentioned,Negative,1,None of the above,0,"""Kill people, and break things"" that quote is terrifying. #GOPDebates"
Scott Walker,Negative,1,None of the above,8,"RT @SupermanHotMale: Dear Gov Walker, you have nothing to brag about, you fucked your state of Wisconsin and you suck Koch... #BitchAssPoli…"
Ted Cruz,Positive,1,None of the above,65,"RT @Lrihendry: #TedCruz headed into the Presidential Debates. GO TED!! 

#GOPDebates http://t.co/8S67pz8a4A"
Scott Walker,Negative,0.6848,None of the above,0,"""Russia knows more about Hillary's emails than we do!"" Zinger point for @ScottWalker #GOPDebates #"
Ted Cruz,Negative,0.6949,Foreign Policy,0,"Cruz refers to terrible ""Obama-Clinton foreign policy"" of the past 6 years. Kerry has been SOS since 2/13. #GOPDebates #ClownCar  #clueless"
No candidate mentioned,Negative,1,FOX News or Moderators,132,RT @RWSurferGirl: Is it just me or does anyone else want to punch Chris Wallace in the face? #GOPDebate  #GOPDebates 🇺🇸
Scott Walker,Negative,0.6591,Foreign Policy,0,"On Russia, @ScottWalker endorses sending arms to Ukraine. #LZDebates #GOPdebates"
Ted Cruz,Negative,0.6896,FOX News or Moderators,21,"RT @marymauldin: Hey @FoxNews ! How absolutely fearful are you of @SenTedCruz ? 

I'm LOL at how you refuse to ask him questions!
#GOPDebat…"
Chris Christie,Negative,1,FOX News or Moderators,132,RT @RWSurferGirl: Is it just me or does anyone else want to punch Chris Wallace in the face? #GOPDebate  #GOPDebates 🇺🇸
Jeb Bush,Negative,1,None of the above,172,RT @RWSurferGirl: Jeb Bush reminds me of elevator music. You hear it but you don't listen. 🇺🇸 #GOPDebate  #GOPDebates
Mike Huckabee,Negative,1,LGBT issues,2,"RT @jordiemojordie: Mike Huckabee: ""The military is not a social experiment."" 
...and being transgendered is? 
#GOPDebates"
Scott Walker,Positive,1,Foreign Policy,0,Gov @ScottWalker gave a succinct and excellent answer to respond to putin. #GOPDebates
No candidate mentioned,Negative,0.6778,FOX News or Moderators,120,RT @RWSurferGirl: Why doesn't Chris Wallace ask the other politicans about their finances and where their money comes from? 🇺🇸 #GOPDebate  …
Scott Walker,Negative,1,None of the above,0,I bet Scott Walker has a well-worn pair of Crocs. #GOPDebates
Ted Cruz,Positive,0.6923,None of the above,65,"RT @Lrihendry: #TedCruz headed into the Presidential Debates. GO TED!! 

#GOPDebates http://t.co/8S67pz8a4A"
Mike Huckabee,Negative,1,None of the above,66,"RT @jamiaw: ""The purpose of the military is to kill people and break things""-Mike Huckabee #GOPDebates #KKKorGOP"
No candidate mentioned,Negative,0.6304,FOX News or Moderators,155,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. 🇺🇸  #GOPDebate  #GOPDebates
Donald Trump,Negative,0.6701,FOX News or Moderators,73,RT @RWSurferGirl: I'm really really really pissed off at FOX News for what they did to @realDonaldTrump #GOPDebate  #GOPDebates 🇺🇸
No candidate mentioned,Positive,1,None of the above,1,#GOPDebates interesting
No candidate mentioned,Negative,0.3494,FOX News or Moderators,3,These fox news debates are no more than comedy at the laugh store... it's all for fun. #GopDebates
No candidate mentioned,Negative,0.6374,Racial issues,11,RT @monaeltahawy: One question on one of the most important and urgent movements in the US today &amp; for long time. One question. #GOPDebates…
Mike Huckabee,Negative,0.3434,LGBT issues,0,I wonder what kind of progressive views Mike Huckabee has on transgendered people. #GOPDebates
No candidate mentioned,Negative,1,FOX News or Moderators,132,RT @RWSurferGirl: Is it just me or does anyone else want to punch Chris Wallace in the face? #GOPDebate  #GOPDebates 🇺🇸
Mike Huckabee,Negative,1,LGBT issues,0,"Mike Huckabee on trans people ""Kill people and break things"" #GOPdebates"
No candidate mentioned,Negative,0.6304,None of the above,0,“@msgoddessrises: Damn I'm out of Peach vodka! #GOPDebates” too bad move to vino!
No candidate mentioned,Negative,1,Foreign Policy,0,The purpose of the military is to kill and break things? This is news to me.  #GOPDebates
No candidate mentioned,Negative,1,FOX News or Moderators,132,RT @RWSurferGirl: Is it just me or does anyone else want to punch Chris Wallace in the face? #GOPDebate  #GOPDebates 🇺🇸
No candidate mentioned,Negative,0.6846,FOX News or Moderators,120,RT @RWSurferGirl: Why doesn't Chris Wallace ask the other politicans about their finances and where their money comes from? 🇺🇸 #GOPDebate  …
Mike Huckabee,Negative,1,LGBT issues,2,"Mike Huckabee: ""The military is not a social experiment."" 
...and being transgendered is? 
#GOPDebates"
No candidate mentioned,Negative,1,FOX News or Moderators,120,RT @RWSurferGirl: Why doesn't Chris Wallace ask the other politicans about their finances and where their money comes from? 🇺🇸 #GOPDebate  …
Ben Carson,Negative,0.6667,None of the above,0,Wait- Ben Carson is actually in these debates? What does he do in his downtime? I hope he brought a book. #GOPDebates
Scott Walker,Positive,1,None of the above,0,China &amp; Russia's servers know more about Hilary Clinton's emails than we do.  👏🏻👏🏻👏🏻 @ScottWalker #GOPDebates
Jeb Bush,Negative,1,None of the above,172,RT @RWSurferGirl: Jeb Bush reminds me of elevator music. You hear it but you don't listen. 🇺🇸 #GOPDebate  #GOPDebates
Donald Trump,Positive,0.3671,None of the above,278,RT @ericstonestreet: Trump has Cam hands. #GOPDebates
No candidate mentioned,Negative,1,Foreign Policy,4,RT @Lukewearechange: where is this evidence that these hacks talk about when it comes to Syria #GOPDebates
No candidate mentioned,Negative,1,None of the above,120,RT @RWSurferGirl: Why doesn't Chris Wallace ask the other politicans about their finances and where their money comes from? 🇺🇸 #GOPDebate  …
No candidate mentioned,Negative,1,FOX News or Moderators,0,"So FoxNews just shut down the debate stream on SKY. 
Just a little controlling are we?

#GOPDebates"
Scott Walker,Positive,0.6546,None of the above,0,"I don't care about the Clinton email issue, but Walker's zinger was pretty good. #GOPDebates"
Jeb Bush,Negative,1,FOX News or Moderators,3,"RT @PuestoLoco: .@dccc @PPFA
Cancel the primaries. Fox Party set up &amp; anointed their man Jeb Bush
#GOPDebates #CantTrustABush http://t.co/b…"
No candidate mentioned,Negative,1,FOX News or Moderators,120,RT @RWSurferGirl: Why doesn't Chris Wallace ask the other politicans about their finances and where their money comes from? 🇺🇸 #GOPDebate  …
No candidate mentioned,Negative,1,Women's Issues (not abortion though),36,"RT @monaeltahawy: Oh boy: ""social issues"" = GOP code for who can control women's bodies &amp; sexuality the most. Hold on tight, TwitterLand  #…"
No candidate mentioned,Negative,0.6966,None of the above,0,"Because he wore his klansman cap last night and it messed up his part
#GOPDebates #Democrats https://t.co/YcMDUP7Ikm"
No candidate mentioned,Positive,1,FOX News or Moderators,2,@BretBaier is by far the best moderator tonight. Hands down. #GOPDebate @FoxNews #GOPDebates Nice job Bret!
Ted Cruz,Positive,1,None of the above,65,"RT @Lrihendry: #TedCruz headed into the Presidential Debates. GO TED!! 

#GOPDebates http://t.co/8S67pz8a4A"
Ben Carson,Positive,1,None of the above,0,"""The Progressive movement is causing our problems and @HillaryClinton is the epitome of that."" - @RealBenCarson #GOPdebates 🇺🇸 &lt; agree"
Ben Carson,Negative,1,Foreign Policy,1,"Ben Carson is saying military didnt hv capability to strike Assad. Goodbye, dude. Youre nuts. #gopdebates #FoxDebate"
No candidate mentioned,Negative,1,FOX News or Moderators,132,RT @RWSurferGirl: Is it just me or does anyone else want to punch Chris Wallace in the face? #GOPDebate  #GOPDebates 🇺🇸
Donald Trump,Negative,1,FOX News or Moderators,134,RT @RWSurferGirl: The candidates don't have to attack @realDonaldTrump Fox is doing it for them by stoping him from speaking. 🇺🇸 #GOPDebate…
No candidate mentioned,Negative,1,FOX News or Moderators,120,RT @RWSurferGirl: Why doesn't Chris Wallace ask the other politicans about their finances and where their money comes from? 🇺🇸 #GOPDebate  …
Scott Walker,Negative,1,None of the above,0,"Scott Walker, what about YOUR email controversy?  #GOPDebates"
No candidate mentioned,Negative,1,FOX News or Moderators,155,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. 🇺🇸  #GOPDebate  #GOPDebates
Ted Cruz,Negative,0.6988,FOX News or Moderators,21,"RT @marymauldin: Hey @FoxNews ! How absolutely fearful are you of @SenTedCruz ? 

I'm LOL at how you refuse to ask him questions!
#GOPDebat…"
No candidate mentioned,Negative,0.6897,None of the above,0,"When you find moosh, you push... I've been saying that for years #GOPDebates"
No candidate mentioned,Negative,0.6537,None of the above,0,"Nope @HillaryClinton I feel like "" #Hilliary2016forPrison "" #GOPDebates #NoMoreLibsOrRinos #ccot #MakeDCListen #pjnet"
Ben Carson,Positive,1,None of the above,1,Ben Carson doesn't talk trash. Mature speaker of truth. Maturity and strength on display at #GOPDebates #FOXNEWSDEBATE #WinBenWin
Ted Cruz,Negative,1,None of the above,21,RT @ThatChrisGore: Ted Cruz's mutant superpower is fear-mongering. #TedCruz #TedCruz2016 #GOPDebate #GOPDebates
Ben Carson,Positive,1,Foreign Policy,0,I love to hear #BenCarson #GOPDebates #DebateQuestionsWeWantToHear he makes perfect sense #Israel awesome
Scott Walker,Negative,0.6915,Foreign Policy,0,"Wow, Walker says that Russia/China probably know more about HRC's emails than Congress does. #GOPdebates"
No candidate mentioned,Positive,0.6735,Foreign Policy,4,RT @Lukewearechange: where is this evidence that these hacks talk about when it comes to Syria #GOPDebates
Donald Trump,Negative,0.6404,FOX News or Moderators,134,RT @RWSurferGirl: The candidates don't have to attack @realDonaldTrump Fox is doing it for them by stoping him from speaking. 🇺🇸 #GOPDebate…
Ted Cruz,Negative,1,None of the above,21,RT @ThatChrisGore: Ted Cruz's mutant superpower is fear-mongering. #TedCruz #TedCruz2016 #GOPDebate #GOPDebates
No candidate mentioned,Negative,1,FOX News or Moderators,155,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. 🇺🇸  #GOPDebate  #GOPDebates
No candidate mentioned,Negative,1,None of the above,0,It seems the candidates used their 1st amendment right to free their speech from the context the questions provide. #GOPdebate  #GOPDebates
No candidate mentioned,Positive,1,Foreign Policy,0,Carly knows the leaders and issues in the middle east.  #GOPDebates
No candidate mentioned,Negative,1,Foreign Policy,0,"""I have a real foreign policy question.."" ""Wait, wait, I have this great Hillary Clinton joke."" #GOPDebates"
No candidate mentioned,Positive,1,Foreign Policy,0,Nice to see these candidates oppose Russia's aggressive actions in Europe. #GOPDebates
Donald Trump,Negative,0.6364,FOX News or Moderators,134,RT @RWSurferGirl: The candidates don't have to attack @realDonaldTrump Fox is doing it for them by stoping him from speaking. 🇺🇸 #GOPDebate…
No candidate mentioned,Negative,1,FOX News or Moderators,132,RT @RWSurferGirl: Is it just me or does anyone else want to punch Chris Wallace in the face? #GOPDebate  #GOPDebates 🇺🇸
No candidate mentioned,Negative,1,FOX News or Moderators,155,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. 🇺🇸  #GOPDebate  #GOPDebates
No candidate mentioned,Negative,1,FOX News or Moderators,132,RT @RWSurferGirl: Is it just me or does anyone else want to punch Chris Wallace in the face? #GOPDebate  #GOPDebates 🇺🇸
No candidate mentioned,Negative,1,None of the above,132,RT @RWSurferGirl: Is it just me or does anyone else want to punch Chris Wallace in the face? #GOPDebate  #GOPDebates 🇺🇸
No candidate mentioned,Negative,0.6552,None of the above,0,Damn I'm out of Peach vodka! #GOPDebates
No candidate mentioned,Negative,1,None of the above,0,Zero questions on deflategate. #GOPdebates
Jeb Bush,Negative,1,None of the above,172,RT @RWSurferGirl: Jeb Bush reminds me of elevator music. You hear it but you don't listen. 🇺🇸 #GOPDebate  #GOPDebates
Jeb Bush,Negative,0.6742,FOX News or Moderators,153,RT @RWSurferGirl: Fox is cherry picking the candidates. Jeb gets the softball questions. 🇺🇸 #GOPDebates  #GOPDebates
No candidate mentioned,Negative,1,FOX News or Moderators,120,RT @RWSurferGirl: Why doesn't Chris Wallace ask the other politicans about their finances and where their money comes from? 🇺🇸 #GOPDebate  …
No candidate mentioned,Negative,1,FOX News or Moderators,120,RT @RWSurferGirl: Why doesn't Chris Wallace ask the other politicans about their finances and where their money comes from? 🇺🇸 #GOPDebate  …
No candidate mentioned,Negative,1,FOX News or Moderators,132,RT @RWSurferGirl: Is it just me or does anyone else want to punch Chris Wallace in the face? #GOPDebate  #GOPDebates 🇺🇸
No candidate mentioned,Negative,0.6809,FOX News or Moderators,155,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. 🇺🇸  #GOPDebate  #GOPDebates
Jeb Bush,Negative,1,None of the above,172,RT @RWSurferGirl: Jeb Bush reminds me of elevator music. You hear it but you don't listen. 🇺🇸 #GOPDebate  #GOPDebates
No candidate mentioned,Negative,1,FOX News or Moderators,155,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. 🇺🇸  #GOPDebate  #GOPDebates
No candidate mentioned,Negative,1,None of the above,0,This Roast of Hilary Clinton needs Jeff Ross #GOPDebates
Ted Cruz,Negative,0.6774,FOX News or Moderators,21,"RT @marymauldin: Hey @FoxNews ! How absolutely fearful are you of @SenTedCruz ? 

I'm LOL at how you refuse to ask him questions!
#GOPDebat…"
Ted Cruz,Positive,0.6356,None of the above,21,RT @ThatChrisGore: Ted Cruz's mutant superpower is fear-mongering. #TedCruz #TedCruz2016 #GOPDebate #GOPDebates
Jeb Bush,Negative,0.683,FOX News or Moderators,153,RT @RWSurferGirl: Fox is cherry picking the candidates. Jeb gets the softball questions. 🇺🇸 #GOPDebates  #GOPDebates
Ben Carson,Negative,0.6484,None of the above,2,#GOPDebates Ben Carson take my advice and try to be the surgeon general
No candidate mentioned,Negative,1,FOX News or Moderators,132,RT @RWSurferGirl: Is it just me or does anyone else want to punch Chris Wallace in the face? #GOPDebate  #GOPDebates 🇺🇸
Chris Christie,Negative,1,FOX News or Moderators,132,RT @RWSurferGirl: Is it just me or does anyone else want to punch Chris Wallace in the face? #GOPDebate  #GOPDebates 🇺🇸
Donald Trump,Negative,0.6667,None of the above,0,Basically #GOPdebates http://t.co/HlhKGeybX3
Mike Huckabee,Negative,0.3448,None of the above,60,RT @goldietaylor: Huckabee. #GOPDebates http://t.co/Zy12bdUkx9
Ben Carson,Positive,0.3333,,0,"Ben Carson is caked up with the finest Black Radiance setting powder.
#GOPDebate #GopDebates #BNRDebate #debate"
No candidate mentioned,Negative,0.6596,FOX News or Moderators,120,RT @RWSurferGirl: Why doesn't Chris Wallace ask the other politicans about their finances and where their money comes from? 🇺🇸 #GOPDebate  …
Ted Cruz,Negative,1,None of the above,21,RT @ThatChrisGore: Ted Cruz's mutant superpower is fear-mongering. #TedCruz #TedCruz2016 #GOPDebate #GOPDebates
No candidate mentioned,Negative,0.7099,FOX News or Moderators,3,"RT @SupermanHotMale: Dear fox news moderator, you forgot to say chinese hacking started under the Bush Admin... #GopDebates"
Ben Carson,Positive,0.6413,None of the above,1,#FOXNEWS  #GOPDebates  @BenCarson OWNS this Debate when it comes to SMART
No candidate mentioned,Negative,1,FOX News or Moderators,155,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. 🇺🇸  #GOPDebate  #GOPDebates
Ted Cruz,Negative,1,LGBT issues,0,😂😂😂😂👍🏻 I tune that poser out! #GOPDebates #CruzhatesGayPeople  https://t.co/XaWah7FbT8
No candidate mentioned,Negative,0.6828,FOX News or Moderators,0,Who is the fox news guy with the white lady movie star tiny nose job? #GOPDebates
Jeb Bush,Negative,0.6607,FOX News or Moderators,153,RT @RWSurferGirl: Fox is cherry picking the candidates. Jeb gets the softball questions. 🇺🇸 #GOPDebates  #GOPDebates
No candidate mentioned,Negative,1,FOX News or Moderators,132,RT @RWSurferGirl: Is it just me or does anyone else want to punch Chris Wallace in the face? #GOPDebate  #GOPDebates 🇺🇸
Ben Carson,Negative,1,None of the above,0,I'm sure Ben is not ready for any of this. #GOPDebates
Jeb Bush,Negative,0.6591,FOX News or Moderators,153,RT @RWSurferGirl: Fox is cherry picking the candidates. Jeb gets the softball questions. 🇺🇸 #GOPDebates  #GOPDebates
Donald Trump,Negative,0.6903,None of the above,0,"We need a ""Donald Trump Red Zone"" for these #GOPDebates...it just show us the parts where he speaks."
Donald Trump,Positive,1,Immigration,105,"RT @RWSurferGirl: Trump has got it right, nobody would talk about immigration, not untill be brought it up. #GOPDebate #GOPDebates"
Ted Cruz,Negative,0.6965,None of the above,21,RT @ThatChrisGore: Ted Cruz's mutant superpower is fear-mongering. #TedCruz #TedCruz2016 #GOPDebate #GOPDebates
No candidate mentioned,Negative,1,None of the above,1,"Why don't they all just chant ""war"" together? 

#GOPdebates #republicandebates #debate #GOP #debatewithbernie"
No candidate mentioned,Negative,1,FOX News or Moderators,155,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. 🇺🇸  #GOPDebate  #GOPDebates
No candidate mentioned,Negative,1,FOX News or Moderators,155,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. 🇺🇸  #GOPDebate  #GOPDebates
No candidate mentioned,Negative,1,FOX News or Moderators,132,RT @RWSurferGirl: Is it just me or does anyone else want to punch Chris Wallace in the face? #GOPDebate  #GOPDebates 🇺🇸
Ted Cruz,Negative,0.6979,FOX News or Moderators,21,"RT @marymauldin: Hey @FoxNews ! How absolutely fearful are you of @SenTedCruz ? 

I'm LOL at how you refuse to ask him questions!
#GOPDebat…"
Donald Trump,Positive,1,FOX News or Moderators,78,RT @RWSurferGirl: Ask Trump a legitimate question. Look at Wallace's face when Trump nails it. 🇺🇸 #GOPDebate  #GOPDebates
Ted Cruz,Negative,1,None of the above,21,RT @ThatChrisGore: Ted Cruz's mutant superpower is fear-mongering. #TedCruz #TedCruz2016 #GOPDebate #GOPDebates
No candidate mentioned,Negative,0.7079,None of the above,0,"Looks like they're skipping climate change, that's like talking about white walkers in Kings Landing #GOPDebates #DebateWithBernie"
No candidate mentioned,Negative,0.6867,Jobs and Economy,120,RT @RWSurferGirl: Why doesn't Chris Wallace ask the other politicans about their finances and where their money comes from? 🇺🇸 #GOPDebate  …
No candidate mentioned,Negative,1,Foreign Policy,4,RT @Lukewearechange: where is this evidence that these hacks talk about when it comes to Syria #GOPDebates
Ben Carson,Negative,1,None of the above,0,"Ben, dont go with the argument Romney used and got rocked for #HorsesAndBayonettes #GOPDebates"
Ted Cruz,Positive,0.6774,None of the above,38,"RT @RWSurferGirl: @tedcruz and @realDonaldTrump need to take control of this debate,  they can do it, 🇺🇸 #GOPDebate  #GOPDebates"
No candidate mentioned,Negative,1,FOX News or Moderators,155,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. 🇺🇸  #GOPDebate  #GOPDebates
No candidate mentioned,Negative,1,Foreign Policy,0,Solution to everything = war. #GOPDebates
No candidate mentioned,Negative,1,FOX News or Moderators,132,RT @RWSurferGirl: Is it just me or does anyone else want to punch Chris Wallace in the face? #GOPDebate  #GOPDebates 🇺🇸
No candidate mentioned,Negative,1,None of the above,4,RT @secretcabdriver: Bernie Sanders would wipe the floor with ALL of these clowns. #FeelTheBern #DebateWithBernie #GOPDebates
Ted Cruz,Positive,0.6329,None of the above,0,I like Ted Cruz because he looks like Bill Murray. #gopdebates
Jeb Bush,Negative,1,FOX News or Moderators,153,RT @RWSurferGirl: Fox is cherry picking the candidates. Jeb gets the softball questions. 🇺🇸 #GOPDebates  #GOPDebates
No candidate mentioned,Negative,0.6522,FOX News or Moderators,132,RT @RWSurferGirl: Is it just me or does anyone else want to punch Chris Wallace in the face? #GOPDebate  #GOPDebates 🇺🇸
No candidate mentioned,Negative,1,FOX News or Moderators,132,RT @RWSurferGirl: Is it just me or does anyone else want to punch Chris Wallace in the face? #GOPDebate  #GOPDebates 🇺🇸
Ted Cruz,Positive,0.3613,None of the above,149,"RT @RWSurferGirl: I think Cruz and Trump need to band together and expose this set up job, and get rid of Bush and Rubio, 🇺🇸 #GOPDebate  #G…"
Ted Cruz,Negative,1,None of the above,21,RT @ThatChrisGore: Ted Cruz's mutant superpower is fear-mongering. #TedCruz #TedCruz2016 #GOPDebate #GOPDebates
No candidate mentioned,Negative,1,None of the above,0,#GOPDebates: proof that some people are still willing to blow a dead man.
Donald Trump,Negative,1,Women's Issues (not abortion though),8,"RT @AnnemarieWeers: #DonaldTrump The only difference between me &amp; other candidates is that I’m more honest &amp; my women are more beautiful. 
…"
Donald Trump,Positive,1,Immigration,105,"RT @RWSurferGirl: Trump has got it right, nobody would talk about immigration, not untill be brought it up. #GOPDebate #GOPDebates"
Donald Trump,Positive,1,None of the above,0,Trump is doing a good job. It's amazing. We may not want to hear it. He has said it. #Trump #Trump2016 #GOPDebate #politics #GOPDebates
No candidate mentioned,Positive,0.6526,FOX News or Moderators,8,RT @SalMasekela: Straight Outta Compton commercial on Fox News. Well played. 🙌🏿 #GOPDebates
No candidate mentioned,Positive,1,Foreign Policy,0,Loved that Carly Fiorina said one of her first two phones would be to Bibi in Israel.  #GOPDebates
Ben Carson,Negative,0.6458,None of the above,0,"#GOPDebates I thought Ben Carson went home, he's been so quiet"
No candidate mentioned,Negative,0.6477,,2,"Hey #GopDebates, Ronald Reagan has no relationship to you assholes, he pardoned millions of mexican americans #BOOM"
No candidate mentioned,Negative,1,Women's Issues (not abortion though),36,"RT @monaeltahawy: Oh boy: ""social issues"" = GOP code for who can control women's bodies &amp; sexuality the most. Hold on tight, TwitterLand  #…"
Donald Trump,Positive,0.6649,None of the above,149,"RT @RWSurferGirl: I think Cruz and Trump need to band together and expose this set up job, and get rid of Bush and Rubio, 🇺🇸 #GOPDebate  #G…"
Jeb Bush,Negative,1,None of the above,172,RT @RWSurferGirl: Jeb Bush reminds me of elevator music. You hear it but you don't listen. 🇺🇸 #GOPDebate  #GOPDebates
Donald Trump,Positive,1,None of the above,78,RT @RWSurferGirl: Ask Trump a legitimate question. Look at Wallace's face when Trump nails it. 🇺🇸 #GOPDebate  #GOPDebates
No candidate mentioned,Negative,1,Foreign Policy,4,where is this evidence that these hacks talk about when it comes to Syria #GOPDebates
No candidate mentioned,Negative,1,FOX News or Moderators,132,RT @RWSurferGirl: Is it just me or does anyone else want to punch Chris Wallace in the face? #GOPDebate  #GOPDebates 🇺🇸
No candidate mentioned,Negative,1,FOX News or Moderators,132,RT @RWSurferGirl: Is it just me or does anyone else want to punch Chris Wallace in the face? #GOPDebate  #GOPDebates 🇺🇸
No candidate mentioned,Negative,1,FOX News or Moderators,155,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. 🇺🇸  #GOPDebate  #GOPDebates
No candidate mentioned,Negative,0.6759,FOX News or Moderators,120,RT @RWSurferGirl: Why doesn't Chris Wallace ask the other politicans about their finances and where their money comes from? 🇺🇸 #GOPDebate  …
Ted Cruz,Negative,1,None of the above,21,RT @ThatChrisGore: Ted Cruz's mutant superpower is fear-mongering. #TedCruz #TedCruz2016 #GOPDebate #GOPDebates
Donald Trump,Negative,0.6207,None of the above,0,"*Lady screams bloody murder* Trump- ""I agree"" BEST MOMENT OF #GOPDebates"
Ted Cruz,Negative,0.6771,None of the above,21,RT @ThatChrisGore: Ted Cruz's mutant superpower is fear-mongering. #TedCruz #TedCruz2016 #GOPDebate #GOPDebates
No candidate mentioned,Negative,0.6706,Racial issues,0,"""Consequences of Obama/Clinton admin..."" Like increased diplomacy, rational decision-making and working to eliminate xenophobia? #GOPDebates"
Ted Cruz,Negative,0.3507,None of the above,21,RT @ThatChrisGore: Ted Cruz's mutant superpower is fear-mongering. #TedCruz #TedCruz2016 #GOPDebate #GOPDebates
Ted Cruz,Positive,1,None of the above,149,"RT @RWSurferGirl: I think Cruz and Trump need to band together and expose this set up job, and get rid of Bush and Rubio, 🇺🇸 #GOPDebate  #G…"
Donald Trump,Negative,0.6136,None of the above,1,😂😂😂😂 Drink!!! #Trump #GOPDebates  https://t.co/Az9GUGMCGU
No candidate mentioned,Positive,0.3385,None of the above,0,It's way more fun being in America watching the #GOPDebates
Ted Cruz,Negative,1,None of the above,0,"Ted, look at history: that was a deal to bolster Reagan! #GOPDebate #GOPDebates"
